,Message
1503,"Hi Customer, Booking ID: WCTOJT5. Seats: GOLD-N4,N5, 2 seat(s) for The Jungle Book on 2012-03-04 9:17 at PVR: VR Gold, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1504,"Repair ref.no for your car is JC36862331 opened on 2014-06-03 1:34hrs,ETD of your car is 2014-06-04 20:45hrs and est.repair amt is Rs.1863 Rgds, Bimal Auto Agency"
1505,Bill dated 2014-01-17 for Rs 605 has been generated for your Aircel fixedline/broadband relationship no. 77883162. The same will reach you by 2014-01-20. Due date: 2014-02-01.
1506,"Hi Customer, Booking ID: WQ0JM86. Seats: SILVER-D3,D4,D5,D6,D7,D8,D9, 7 seat(s) for Now You See Me 2 on 2010-11-07 0:56 at The Cinema GT World: Magadi Rd, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1507,Welcome to Tabriz International Airport R.No. 432 Ch.In 2015-04-03 15:50 Ch.out 2015-04-30 12:00.
1508,"Hi Customer, Booking ID: WESK1JL. Seats: STANDARD-F1,F2,F3,F4,F5,F6,F7,F8, 8 seat(s) for Moana on 2014-10-17 18:24 at PVR: Soul Spirit Bellandur, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1509,"Welcome to boulevard R.No. 347, 588 Ch.In 2013-12-29 7:31 Ch.out 2014-01-04 12:00."
1510,"PNR:3612431635,TRAIN:1542,DOJ:2013-08-19,SL,BSQP-BOY,Dep:7:13, Israel,S3 47 , Fare:1407,SC:10.0+PG+INS"
1511,Bimal Auto Agency : Service of your car KA66Z6651 is due in 43 days on 2010-09-09. Please contact us at 9573776351 to book a service.
1512,"Welcome to PATHOLOGY Lab R.No. 521, 505, 121 Ch.In 2015-07-25 5:37 Ch.out 2015-08-04 12:00."
1513,"Hi Customer, Booking ID: WJ4B5DZ. Seats: GOLD-N12,N13,N14,N15,N16,N17, 6 seat(s) for Rogue One on 2015-02-03 5:40 at Carnival: Rockline Mall. Please carry your CC/DC card which was used for booking tickets."
1514,"[Les Deux Magots] Hi Griffin, your reservation is confirmed for 8 people on 2010-02-26 at 19:10. We can hold your table for a maximum of 2 mins."
1515,"* KSRTC m-Ticket *  from: KOTTAYAM to: KOLHAPUR PsngrName: Micah TripCode: 2039KOTKOL PNR No.: J62924780 JnyDate: 2012-05-09 DepTime: 20:39  SeatNo.: 18, 30  Class: AC chair  BoardingPt: KOTTAYAM Residency Road Txn Password: 1724 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1516,"Repair ref.no for your car is JC48641112 opened on 2011-10-09 21:50hrs,ETD of your car is 2011-10-10 21:28hrs and est.repair amt is Rs.182 Rgds, Maruti Auto Agency"
1517,"Hi Customer, Booking ID: WA8MDI4. Seats: SILVER-M2,M3,M4,M5, 4 seat(s) for Finding Dory on 2014-02-01 14:13 at Gopalan Cinemas: Arcade Mall, Mysore Road. Please carry your CC/DC card which was used for booking tickets."
1518,"[Shake Shack] Hi Gerardo, your reservation is confirmed for 14 people on 2011-08-18 at 0:31. We can hold your table for a maximum of 24 mins."
1519,"PNR:7674181244,TRAIN:11866,DOJ:2012-01-02,SL,AMG-BCH,Dep:18:26, Tanner,S9 84 , Fare:2629,SC:10.0+PG+INS"
1520,"Thank you for choosing Meru for 2012-07-15 at 16:45. Cab:KA54U2568 , Chauffer: Ethan, Cell: 9445778544 will reach you. T&C apply, visit www.Meru.com"
1521,"* KSRTC m-Ticket *  from: PONDICHERRY to: OOTY PsngrName: Emmanuel TripCode: 2347PONOOT PNR No.: J37243307 JnyDate: 2014-07-13 DepTime: 23:47  SeatNo.: 1, 3, 41, 18, 52, 53  Class: Non-AC Sleeper  BoardingPt: PONDICHERRY MG Road Txn Password: 4516 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1522,Bill dated 2011-05-11 for Rs 421 has been generated for your Aircel fixedline/broadband relationship no. 78526663. The same will reach you by 2011-05-14. Due date: 2011-05-26.
1523,Lakshmi Auto Agency : Service of your car KA76I7343 is due in 63 days on 2014-01-22. Please contact us at 9775387777 to book a service.
1524,"Hi Customer, Booking ID: WMZZT7N. Seats: STANDARD-L15,L16,L17, 3 seat(s) for Finding Dory on 2010-03-11 18:34 at INOX: Central, JP Nagar, Mantri Junction. Please carry your CC/DC card which was used for booking tickets."
1525,Lakshmi Auto Agency : Service of your car KA27E3458 is due in 32 days on 2013-08-03. Please contact us at 9441481638 to book a service.
1526,Bill dated 2013-09-27 for Rs 259 has been generated for your Reliance fixedline/broadband relationship no. 51188537. The same will reach you by 2013-09-30. Due date: 2013-10-12.
1527,Appointment with Dr Seth in PONDICHERRY on 2011-08-10 at 21:46 is confirmed. For queries call 1800 8424 4811. Your appt. might get delayed in case the doctor is attending an emergency.
1528,"DEAR Tyler, THANK YOU FOR YOUR BOOKING (ORDER ID: 35378), YOUR ORDER HAS BEEN ASSIGNED TO Wesley(9673246276) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-10-18 at 0:42. FOR ASSISTANCE WHATSAPP US ON 8256757842."
1529,"* KSRTC m-Ticket *  from: KOTTAYAM to: Madurai PsngrName: Dustin TripCode: 1137KOTMad PNR No.: J83279952 JnyDate: 2011-01-17 DepTime: 11:37  SeatNo.: 35, 7, 8, 12, 47, 16, 49, 54, 30  Class: AC Sleeper  BoardingPt: KOTTAYAM Residency Road Txn Password: 2526 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1530,"Repair ref.no for your car is JC51511764 opened on 2013-08-11 17:24hrs,ETD of your car is 2013-08-12 12:16hrs and est.repair amt is Rs.1229 Rgds, Maha Veer Auto Agency"
1531,"PNR:4183818621,TRAIN:4764,DOJ:2011-06-02,AC3,ATE-BIA,Dep:23:52, Levi,B2 86 , Fare:3614,SC:10.0+PG+INS"
1532,"Welcome to 3 Palms Petting Zoo R.No. 296, 178, 107 Ch.In 2015-07-27 6:27 Ch.out 2015-08-10 12:00."
1533,Bill dated 2013-07-29 for Rs 1015 has been generated for your Vodafone fixedline/broadband relationship no. 27374684. The same will reach you by 2013-08-01. Due date: 2013-08-13.
1534,"Repair ref.no for your car is JC18854561 opened on 2014-01-24 23:21hrs,ETD of your car is 2014-01-25 23:39hrs and est.repair amt is Rs.1561 Rgds, Aryan Auto Agency"
1535,"Dear Guest, Thanks for choosing Yellow Cab Pizza Co.. Order ID 1766. Delivery by 2015-07-30 17:13. Enjoy 27% discount on your next purchase. Code WQ66UJ. T&C."
1536,"Thank you for choosing radiocabs for 2013-02-25 at 10:23. Cab:KA56V6584 , Chauffer: Gage, Cell: 9861182712 will reach you. T&C apply, visit www.radiocabs.com"
1537,"Welcome to meditation hall R.No. 113, 498, 348, 297 Ch.In 2011-02-24 14:28 Ch.out 2011-03-03 12:00."
1538,Lakshmi Auto Agency : Service of your car KA32Z3411 is due in 74 days on 2010-03-02. Please contact us at 9185245141 to book a service.
1539,"Thank you for choosing Uber for 2015-07-17 at 0:57. Cab:KA48P1133 , Chauffer: Evan, Cell: 9765637334 will reach you. T&C apply, visit www.Uber.com"
1540,"Repair ref.no for your car is JC33512451 opened on 2009-10-07 22:35hrs,ETD of your car is 2009-10-08 0:25hrs and est.repair amt is Rs.1787 Rgds, Bimal Auto Agency"
1541,Maruti Auto Agency : Service of your car KA73B1765 is due in 65 days on 2014-11-01. Please contact us at 9525526546 to book a service.
1542,"DEAR William, THANK YOU FOR YOUR BOOKING (ORDER ID: 13248), YOUR ORDER HAS BEEN ASSIGNED TO Pedro(9222577758) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2014-05-27 at 23:30. FOR ASSISTANCE WHATSAPP US ON 8542248453."
1543,The PNR for your AirAsia Flt 4Q388 for AGX-JRH on 2014-04-18 at 23:57 hrs  is LBUPR9. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1544,"Repair ref.no for your car is JC45272685 opened on 2011-10-24 12:26hrs,ETD of your car is 2011-10-25 23:20hrs and est.repair amt is Rs.1772 Rgds, Maha Veer Auto Agency"
1545,"* KSRTC m-Ticket *  from: OOTY to: Shirdi PsngrName: Ryan TripCode: 1549OOTShi PNR No.: J20951271 JnyDate: 2014-12-20 DepTime: 15:49  SeatNo.: 1, 10, 12, 14, 48, 17, 46, 23, 53  Class: Non-AC Sleeper  BoardingPt: OOTY Rly Station Txn Password: 2533 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1546,"Dear Guest, Thanks for choosing Frisco. Order ID 6338. Delivery by 2015-07-03 16:55. Enjoy 15% discount on your next purchase. Code LAOH6V. T&C."
1547,"[Bread shop] Hi Joshua, your reservation is confirmed for 25 people on 2013-07-23 at 8:54. We can hold your table for a maximum of 38 mins."
1548,"Hi Customer, Booking ID: WE9VJV9. Seats: GOLD-B13,B14, 2 seat(s) for The Conjuring 2 on 2012-10-13 15:11 at PVR: Soul Spirit Bellandur, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1549,The PNR for your AirAsia Flt 5P878 for JRH-RRK on 2009-11-08 at 0:55 hrs  is RSQ15V. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1550,The PNR for your INDIGO Flt 7J624 for MAA-BOM on 2013-12-26 at 5:14 hrs  is LAZZ5F. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1551,Appointment with Dr Calvin in Mumbai on 2011-08-28 at 5:52 is confirmed. For queries call 1800 6437 6732. Your appt. might get delayed in case the doctor is attending an emergency.
1552,"* KSRTC m-Ticket *  from: Shirdi to: CHIKKAMAGALURU PsngrName: Jaxon TripCode: 2326ShiCHI PNR No.: J18705284 JnyDate: 2013-01-07 DepTime: 23:26  SeatNo.: 59, 52, 31  Class: AC chair  BoardingPt: Shirdi MG Road Txn Password: 4562 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1553,"DEAR Kaden, THANK YOU FOR YOUR BOOKING (ORDER ID: 31331), YOUR ORDER HAS BEEN ASSIGNED TO Stephen(9856126123) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2015-05-08 at 6:21. FOR ASSISTANCE WHATSAPP US ON 8274426633."
1554,"Dear Guest, Thanks for choosing icecream spot. Order ID 8321. Delivery by 2014-08-09 14:54. Enjoy 17% discount on your next purchase. Code I1RWQ4. T&C."
1555,"Thank you for choosing Meru for 2014-10-29 at 17:46. Cab:KA67T4152 , Chauffer: John, Cell: 9653228577 will reach you. T&C apply, visit www.Meru.com"
1556,"Thank you for choosing radiocabs for 2011-03-17 at 21:39. Cab:KA84J7353 , Chauffer: Dominic, Cell: 9785188371 will reach you. T&C apply, visit www.radiocabs.com"
1557,Welcome to Chesapeake and Delaware Canal Bridge R.No. 352 Ch.In 2011-12-14 10:44 Ch.out 2012-01-07 12:00.
1558,"DEAR Charles, THANK YOU FOR YOUR BOOKING (ORDER ID: 44262), YOUR ORDER HAS BEEN ASSIGNED TO Raul(9768877254) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-01-16 at 23:12. FOR ASSISTANCE WHATSAPP US ON 8851651282."
1559,"Hi Customer, Booking ID: WRK87AL. Seats: GOLD-G13,G14,G15,G16,G17,G18,G19,G20, 8 seat(s) for Sausage Party on 2013-01-13 3:53 at PVR: Forum Gold, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
1560,Appointment with Dr Keegan in MANIPAL on 2015-07-19 at 0:38 is confirmed. For queries call 1800 3548 3723. Your appt. might get delayed in case the doctor is attending an emergency.
1561,Maruti Auto Agency : Service of your car KA87T5542 is due in 15 days on 2010-02-18. Please contact us at 9165754588 to book a service.
1562,Welcome to Eat'n Park R.No. 500 Ch.In 2012-05-12 5:25 Ch.out 2012-06-01 12:00.
1563,"DEAR Riley, THANK YOU FOR YOUR BOOKING (ORDER ID: 57822), YOUR ORDER HAS BEEN ASSIGNED TO Hector(9836764161) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-06-02 at 12:57. FOR ASSISTANCE WHATSAPP US ON 8458876756."
1564,"* KSRTC m-Ticket *  from: Kozhikode to: DAVANEGERE PsngrName: Marco TripCode: 1639KozDAV PNR No.: J80374571 JnyDate: 2011-09-19 DepTime: 16:39  SeatNo.: 3, 6, 39, 50, 46, 47, 18, 26  Class: AC chair  BoardingPt: Kozhikode Residency Road Txn Password: 3522 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1565,"DEAR Cooper, THANK YOU FOR YOUR BOOKING (ORDER ID: 34634), YOUR ORDER HAS BEEN ASSIGNED TO Edward(9512462112) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-11-26 at 19:22. FOR ASSISTANCE WHATSAPP US ON 8847542211."
1566,Bill dated 2013-06-20 for Rs 391 has been generated for your Idea fixedline/broadband relationship no. 57354257. The same will reach you by 2013-06-23. Due date: 2013-07-05.
1567,"[BaskinRobbins Australia] Hi Diego, your reservation is confirmed for 8 people on 2014-12-15 at 12:41. We can hold your table for a maximum of 37 mins."
1568,Bill dated 2012-09-25 for Rs 1161 has been generated for your Aircel fixedline/broadband relationship no. 64521861. The same will reach you by 2012-09-28. Due date: 2012-10-10.
1569,"PNR:8676153752,TRAIN:1621,DOJ:2012-08-28,AC3,ALM-BVS,Dep:23:40, Cesar,B9 60 , Fare:786,SC:10.0+PG+INS"
1570,"Thank you for choosing Meru for 2014-04-19 at 17:44. Cab:KA77P7636 , Chauffer: Evan, Cell: 9216724165 will reach you. T&C apply, visit www.Meru.com"
1571,"Dear Guest, Thanks for choosing Blue Lagoon restaurant. Order ID 8782. Delivery by 2012-05-30 4:50. Enjoy 28% discount on your next purchase. Code JH4VCH. T&C."
1572,"Dear Guest, Thanks for choosing Harvester. Order ID 1154. Delivery by 2010-01-26 5:13. Enjoy 15% discount on your next purchase. Code F0JTIB. T&C."
1573,The PNR for your JET Airways Flt 2I477 for MYQ-BEP on 2014-04-26 at 21:12 hrs  is H573NA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1574,"* KSRTC m-Ticket *  from: HASSAN to: SRINGERI PsngrName: Preston TripCode: 1518HASSRI PNR No.: J21253491 JnyDate: 2011-04-16 DepTime: 15:18  SeatNo.: 43, 41, 10, 11, 14, 48  Class: AC chair  BoardingPt: HASSAN Residency Road Txn Password: 4614 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1575,The PNR for your JET Airways Flt 2C761 for SXR-ISK on 2009-10-04 at 10:10 hrs  is YQG3HA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1576,Bimal Auto Agency : Service of your car KA25C8346 is due in 45 days on 2013-05-02. Please contact us at 9122143844 to book a service.
1577,"Thank you for choosing AirportTaxi for 2011-12-29 at 23:44. Cab:KA78P7317 , Chauffer: Colby, Cell: 9776487687 will reach you. T&C apply, visit www.AirportTaxi.com"
1578,"Welcome to movie theatre R.No. 241, 179, 197, 327 Ch.In 2013-03-22 14:31 Ch.out 2013-04-10 12:00."
1579,"[Burger Fuel] Hi Shawn, your reservation is confirmed for 13 people on 2011-03-01 at 20:17. We can hold your table for a maximum of 17 mins."
1580,"Dear Guest, Thanks for choosing OK Diner. Order ID 4162. Delivery by 2012-05-01 6:54. Enjoy 4% discount on your next purchase. Code LNGFV4. T&C."
1581,"Repair ref.no for your car is JC42687573 opened on 2015-04-28 21:27hrs,ETD of your car is 2015-04-29 22:10hrs and est.repair amt is Rs.571 Rgds, Bimal Auto Agency"
1582,Welcome to Bellbank Bridge R.No. 302 Ch.In 2011-09-22 3:22 Ch.out 2011-09-28 12:00.
1583,"DEAR Joseph, THANK YOU FOR YOUR BOOKING (ORDER ID: 16843), YOUR ORDER HAS BEEN ASSIGNED TO Grant(9853755858) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2009-10-18 at 14:50. FOR ASSISTANCE WHATSAPP US ON 8427757255."
1584,"DEAR Hayden, THANK YOU FOR YOUR BOOKING (ORDER ID: 75138), YOUR ORDER HAS BEEN ASSIGNED TO Spencer(9426661667) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-05-29 at 4:34. FOR ASSISTANCE WHATSAPP US ON 8223671457."
1585,"Thank you for choosing Ola for 2013-08-24 at 3:33. Cab:KA36I3838 , Chauffer: Elias, Cell: 9127774645 will reach you. T&C apply, visit www.Ola.com"
1586,* KSRTC m-Ticket *  from: ANWATTI to: Mangaluru PsngrName: Riley TripCode: 1037ANWMan PNR No.: J70724807 JnyDate: 2011-02-15 DepTime: 10:37  SeatNo.: 29  Class: AC Sleeper  BoardingPt: ANWATTI Bus Stand Road Txn Password: 4665 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
1587,"* KSRTC m-Ticket *  from: Kundapura to: Panaji Goa PsngrName: Seth TripCode: 1412KunPan PNR No.: J40371210 JnyDate: 2014-03-27 DepTime: 14:12  SeatNo.: 32, 26, 52, 37  Class: Non-AC chair  BoardingPt: Kundapura Bus Stand Road Txn Password: 6463 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1588,"Welcome to Star Health and Allied Insurance Company Limited R.No. 344, 240, 443, 190 Ch.In 2015-01-15 5:22 Ch.out 2015-01-21 12:00."
1589,Bill dated 2015-04-28 for Rs 196 has been generated for your Docomo fixedline/broadband relationship no. 65658427. The same will reach you by 2015-05-01. Due date: 2015-05-13.
1590,"Welcome to COASTAL BEND BSHRS R.No. 129, 549 Ch.In 2011-01-17 10:40 Ch.out 2011-01-31 12:00."
1591,"PNR:3324732872,TRAIN:8732,DOJ:2014-05-16,AC3,BUP-BMH,Dep:5:30, Eli,B4 77 , Fare:4134,SC:10.0+PG+INS"
1592,"Repair ref.no for your car is JC67182651 opened on 2013-08-09 1:37hrs,ETD of your car is 2013-08-10 21:40hrs and est.repair amt is Rs.173 Rgds, Bimal Auto Agency"
1593,"* KSRTC m-Ticket *  from: COONUR to: Pune PsngrName: Nicholas TripCode: 115COOPun PNR No.: J30139304 JnyDate: 2012-06-19 DepTime: 1:15  SeatNo.: 56, 42, 44, 38  Class: Non-AC chair  BoardingPt: COONUR Residency Road Txn Password: 3226 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1594,The PNR for your INDIGO Flt 3C681 for SXR-BDQ on 2013-06-18 at 2:51 hrs  is GMWMD9. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1595,"* KSRTC m-Ticket *  from: Chennai to: OOTY PsngrName: Drew TripCode: 2225CheOOT PNR No.: J73359520 JnyDate: 2010-01-22 DepTime: 22:25  SeatNo.: 18, 30  Class: Non-AC Sleeper  BoardingPt: Chennai Residency Road Txn Password: 1336 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1596,The PNR for your SPICE JET Flt 2V188 for LDA-KLH on 2012-11-13 at 19:35 hrs  is P1OJ7P. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
1597,"DEAR Andrew, THANK YOU FOR YOUR BOOKING (ORDER ID: 67137), YOUR ORDER HAS BEEN ASSIGNED TO Landen(9838176363) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2014-11-13 at 14:52. FOR ASSISTANCE WHATSAPP US ON 8374117727."
1598,Appointment with Dr Justin in Kozhikode on 2012-01-03 at 14:24 is confirmed. For queries call 1800 1281 2838. Your appt. might get delayed in case the doctor is attending an emergency.
1599,"PNR:7387737638,TRAIN:1256,DOJ:2013-11-10,AC3,BBGN-BNV,Dep:13:20, Malachi,B4 33 , Fare:5341,SC:10.0+PG+INS"
1600,"Dear Guest, Thanks for choosing Icecream counter. Order ID 3243. Delivery by 2011-04-01 18:52. Enjoy 2% discount on your next purchase. Code NZYQIE. T&C."
1601,True Value : Service of your car KA32F2746 is due in 82 days on 2011-03-13. Please contact us at 9386847561 to book a service.
1602,"Thank you for choosing KSRTC for 2010-05-17 at 11:15. Cab:KA36Y7141 , Chauffer: Dakota, Cell: 9715433824 will reach you. T&C apply, visit www.KSRTC.com"
1603,Aryan Auto Agency : Service of your car KA18Z2664 is due in 52 days on 2010-08-26. Please contact us at 9773576668 to book a service.
1604,"* KSRTC m-Ticket *  from: Kundapura to: PONDICHERRY PsngrName: Tristan TripCode: 1126KunPON PNR No.: J65911729 JnyDate: 2012-10-13 DepTime: 11:26  SeatNo.: 16, 11  Class: Non-AC chair  BoardingPt: Kundapura MG Road Txn Password: 4273 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
1605,"PNR:2335715122,TRAIN:81361,DOJ:2015-01-12,AC3,BBN-VNK,Dep:23:29, Adam,B3 12 , Fare:3496,SC:10.0+PG+INS"
